# This file was automatically generated by Contrib::SKR03Mapping::Generators::ClassificationJsonBuilder
# Columns: code; flags; range; cid; presentation_rule; description
0005;;;;;Rückständige fällige Einzahlungen auf Geschäftsanteile
0010;;;b.aktiva.anlagevermoegen.immaterielle_vermoegensgegenstaende.entgeltlich_erworbene_konzessionen_gewerbliche_schutzrechte_;unknown;Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten
0015;;;b.aktiva.anlagevermoegen.immaterielle_vermoegensgegenstaende.entgeltlich_erworbene_konzessionen_gewerbliche_schutzrechte_;unknown;Konzessionen
0020;;;b.aktiva.anlagevermoegen.immaterielle_vermoegensgegenstaende.entgeltlich_erworbene_konzessionen_gewerbliche_schutzrechte_;unknown;Gewerbliche Schutzrechte
0025;;;b.aktiva.anlagevermoegen.immaterielle_vermoegensgegenstaende.entgeltlich_erworbene_konzessionen_gewerbliche_schutzrechte_;unknown;Ähnliche Rechte und Werte
0027;;;b.aktiva.anlagevermoegen.immaterielle_vermoegensgegenstaende.entgeltlich_erworbene_konzessionen_gewerbliche_schutzrechte_;unknown;EDV-Software
0030;;;b.aktiva.anlagevermoegen.immaterielle_vermoegensgegenstaende.entgeltlich_erworbene_konzessionen_gewerbliche_schutzrechte_;unknown;Lizenzen an gewerblichen Schutzrechten und ähnlichen Rechten und Werten
0035;;;b.aktiva.anlagevermoegen.immaterielle_vermoegensgegenstaende.geschaefts_oder_firmenwert;needs_review;Geschäfts- oder Firmenwert
0038;;;b.aktiva.umlaufvermoegen.vorraete.geleistete_anzahlungen_2;unknown;Anzahlungen auf Geschäfts- oder Firmenwert
0039;;;b.aktiva.umlaufvermoegen.vorraete.geleistete_anzahlungen_2;unknown;Geleistete Anzahlungen auf immaterielle Vermögensgegenstände
0040;R;;;;
0043;;;b.aktiva.anlagevermoegen.immaterielle_vermoegensgegenstaende.selbst_geschaffene_gewerbliche_schutzrechte_und_aehnliche_re;unknown;Selbst geschaffene immaterielle Vermögensgegenstände
