|  |  | KU 0600-0800; KU 0809; KU 0819-0963; KU 0968-0969; KU 0987-0989; KU 0996-0999 |
|  |  | 0005 Rückständige fällige Einzahlungen auf Geschäftsanteile; Immaterielle Vermögensgegenstände |
| Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten |  | 0010 Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten; 0015 Konzessionen; 0020 Gewerbliche Schutzrechte; 0025 Ähnliche Rechte und Werte; 0027 EDV-Software; 0030 Lizenzen an gewerblichen Schutzrechten und ähnlichen Rechten und Werten |
| Geschäfts- oder Firmenwert |  | 0035 Geschäfts- oder Firmenwert |
| Geleistete Anzahlungen |  | 0038 Anzahlungen auf Geschäfts- oder Firmenwert; 0039 Geleistete Anzahlungen auf immaterielle Vermögensgegenstände |
|  | R 0040 |  |
| Selbst geschaffene gewerbliche Schutzrechte und ähnliche Rechte und Werte | HB | 0043 Selbst geschaffene immaterielle Vermögensgegenstände; 0044 EDV-Software; 0045 Lizenzen und Franchiseverträge; 0046 Konzessionen und gewerbliche Schutzrechte; 0047 Rezepte, Verfahren, Prototypen; 0048 Immaterielle Vermögensgegenstände in Entwicklung |
|  |  | Sachanlagen |
| Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken |  | 0050 Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken; 0059 Grundstücksanteil des häuslichen Arbeitszimmers; 0060 Grundstücksgleiche Rechte ohne Bauten; 0065 Unbebaute Grundstücke; 0070 Grundstücksgleiche Rechte (Erbbaurecht, Dauerwohnrecht, unbebaute Grundstücke); 0075 Grundstücke mit Substanzverzehr |
| Geleistete Anzahlungen und Anlagen im Bau |  | 0079 Anzahlungen auf Grund und Boden |
| Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken |  | 0080 Bauten auf eigenen Grundstücken und grundstücksgleichen Rechten; 0085 Grundstückswerte eigener bebauter Grundstücke; 0090 Geschäftsbauten; 0100 Fabrikbauten; 0110 Garagen; 0111 Außenanlagen für Geschäfts-, Fabrik- und andere Bauten; 0112 Hof- und Wegebefestigungen; 0113 Einrichtungen für Geschäfts-, Fabrik- und andere Bauten; 0115 Andere Bauten |
|  |  |  |
| Geleistete Anzahlungen und Anlagen im Bau |  | 0120 Geschäfts-, Fabrik- und andere Bauten im Bau auf eigenen Grundstücken; 0129 Anzahlungen auf Geschäfts-, Fabrik- und andere Bauten auf eigenen Grundstücken |
| Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken |  | 0140 Wohnbauten; 0145 Garagen; 0146 Außenanlagen; 0147 Hof- und Wegebefestigungen; 0148 Einrichtungen für Wohnbauten; 0149 Gebäudeteil des häuslichen Arbeitszimmers |
| Geleistete Anzahlungen und Anlagen im Bau |  | 0150 Wohnbauten im Bau auf eigenen Grundstücken; 0159 Anzahlungen auf Wohnbauten auf eigenen Grundstücken |
